id;libelle;date_debut;date_fin;active
1;mission-critical;2019-10-11T03:26:53;2019-10-11T14:49:21;false
2;Home;2019-10-11T18:36:18;2019-10-11T05:05:19;true
3;Canadian Dollar;2019-10-11T14:08:40;2019-10-11T15:08:24;false
4;Dominican Republic Credit Card Account Handmade;2019-10-11T18:00:54;2019-10-11T21:11:00;false
5;cross-platform Point Orchestrator;2019-10-11T17:18:54;2019-10-11T14:01:42;true
6;optical;2019-10-11T23:16:10;2019-10-11T19:11:17;true
7;Argentine Peso;2019-10-11T06:17:11;2019-10-11T12:42:19;false
8;red firewall open-source;2019-10-11T18:31:08;2019-10-11T11:24:10;false
9;Quality;2019-10-11T17:20:42;2019-10-11T17:36:18;true
10;hacking Forint bandwidth;2019-10-11T21:52:08;2019-10-11T04:41:39;true
